sensor_id,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,info_sample_rate_(min),info_min_val,info_max_val,info_order_id,info_region,info_basin,info_x_coord_utm_etrs89,info_y_coord_utm_etrs89,info_river_district,info_state,info_province,info_river,info_sub_basin,info_drained_basin_surface(km2),info_municipality,info_tipology,info_responsible_entity
171812-001-ANA001,River level,NUMBER,41.81813956 2.979121769,19,cm,CET,True,171812-001,Capacity,Santa Cristina d'Aro,True,10.0,0.0,10.0,RB-05,BAIX EMPORDÀ,RIERES DEL CAP DE BEGUR-BLANES,498266,4629585,ACA,In service,GIRONA,RIU RIDAURA,N/D,,SANTA CRISTINA D'ARO,,
171910-001-ANA001,River level,NUMBER,42.026086442 3.070750566,19,cm,CET,True,171910-001,Capacity,Serra de Daró (riu Daró),True,5.0,0.0,10.0,DA-05,BAIX EMPORDÀ,EL DARÓ,505857,4652675,ACA,In service,GIRONA,RIU DARO,EL DARÓ,203.69,SERRA DE DARÓ,,
251116-004-ANA01,River level,NUMBER,42.135943463 1.673105973,19,cm,CET,True,251116-004,Capacity,Guixers (Aigua de Valls),True,15.0,0.0,0.0,CA-10,SOLSONÈS,EL LLOBREGAT,390343,4665722,ACA,In service,LLEIDA,RIERA AIGUA DE VALLS,EL CARDENER,78.0,GUIXERS,,
251116-005-ANA01,River level,NUMBER,42.140275566 1.599623007,19,cm,CET,True,251116-005,Capacity,Guixers (Cardener) (Monegal),True,15.0,0.0,0.0,CA-05,SOLSONÈS,EL LLOBREGAT,384278,4666300,ACA,In service,LLEIDA,RIU CARDENER,EL CARDENER,55.6,GUIXERS,,
251462-001-ANA02,River level,NUMBER,42.007056419 1.6524216,19,cm,CET,True,251462-001,Capacity,Navès (Aigua d'Ora),True,20.0,0.0,0.0,CB-05,SOLSONÈS,EL LLOBREGAT,388408,4651438,ACA,In service,LLEIDA,RIERA D'AIGUADORA,EL CARDENER,120.16,NAVÈS,,
430496-001-ANA003,River level,NUMBER,41.249642381 0.911800784,19,cm,CET,True,430496-001_2,Capacity,Sortida d'Embassament de Siurana (Cornudella de Montsant),True,5.0,0.0,0.0,,PRIORAT,L'EBRE,325206,4568569,ACA,,TARRAGONA,E. SIURANA,RIU DE SIURANA,60.4,CORNUDELLA DE MONTSANT,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
430496-001-ANA006,Canal discharge,NUMBER,41.249642381 0.911800784,35,l/s,CET,True,430496-001_2,Capacity,Sortida d'Embassament de Siurana (Cornudella de Montsant),True,5.0,0.0,0.0,,PRIORAT,L'EBRE,325206,4568569,ACA,,TARRAGONA,E. SIURANA,RIU DE SIURANA,60.4,CORNUDELLA DE MONTSANT,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
430496-001-ANA007,Canal discharge,NUMBER,41.249642381 0.911800784,35,l/s,CET,True,430496-001_2,Capacity,Sortida d'Embassament de Siurana (Cornudella de Montsant),True,5.0,0.0,0.0,,PRIORAT,L'EBRE,325206,4568569,ACA,,TARRAGONA,E. SIURANA,RIU DE SIURANA,60.4,CORNUDELLA DE MONTSANT,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
430496-001-ANA018,River level,NUMBER,41.23564348 0.882485011,19,cm,CET,True,430496-005,Capacity,Cornudella de Montsant,True,5.0,0.0,0.0,SI-20,PRIORAT,L'EBRE,322544,4567078,ACA,In service,TARRAGONA,RIU SIURANA,RIU DE SIURANA,85.0,CORNUDELLA DE MONTSANT,,
430496-002-ANA009,River level,NUMBER,41.235213719 0.887663708,19,cm,CET,True,430496-002,Capacity,Trasvàs Siurana-Riudecanyes,True,5.0,0.0,10.0,SI-15,PRIORAT,L'EBRE,322544,4567078,ACA,In service,TARRAGONA,RIU SIURANA,RIU DE SIURANA,85.0,CORNUDELLA DE MONTSANT,,
430496-003-ANA01,River level,NUMBER,41.274316176 0.922458814,19,cm,CET,True,430496-003,Capacity,Cornudella de Montsant (Barranc de l'Argentera),True,15.0,0.0,0.0,SI-05,PRIORAT,L'EBRE,325997,4571291,ACA,In service,TARRAGONA,RIU SIURANA,RIU DE SIURANA,12.0,CORNUDELLA DE MONTSANT,,
431270-001-ANA01,River level,NUMBER,41.142879469 0.936718117,19,cm,CET,True,431270-001,Capacity,Duesaigües,True,15.0,0.0,10.0,RR-05,BAIX CAMP,RIERA DE RIUDECANYES,326845,4556670,ACA,In service,TARRAGONA,RIERA DE RIUDECANYES,RIERA DE RIUDECANYES,21.0,DUESAIGÜES,,
431482-004-ANA01,River level,NUMBER,41.148784999 1.236276118,19,cm,CET,True,431482-004,Capacity,Tarragona,True,15.0,0.0,0.0,FR-10,TARRAGONÈS,EL FRANCOLÍ,351999,4556773,ACA,In service,TARRAGONA,RIU FRANCOLÍ,EL FRANCOLÍ,821.98,TARRAGONA,,
431652-001-ANA001,River level,NUMBER,41.233966843 1.33729486,19,cm,CET,True,431652-001,Capacity,Vilabella,True,5.0,0.0,10.0,GA-05,ALT CAMP,EL GAIÀ,360657,4566063,ACA,In service,TARRAGONA,RIU GAIÀ,EL GAIÀ,329.73,VILABELLA,,
CALC000001,Canal discharge,NUMBER,41.253617318 1.651034658,35,l/s,CET,True,080581-002,Capacity,Sortida d'Embassament de Foix (Castellet i la Gornal),True,5.0,0.0,0.0,,ALT PENEDÈS,EL FOIX,386988,4568011,ACA,,BARCELONA,RIU FOIX,EL FOIX,293.32,CASTELLET I LA GORNAL,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
CALC000007,River discharge,NUMBER,41.81813956 2.979121769,14,m³/s,CET,True,171812-001,Capacity,Santa Cristina d'Aro,True,5.0,0.0,400.0,RB-05,BAIX EMPORDÀ,RIERES DEL CAP DE BEGUR-BLANES,498266,4629585,ACA,In service,GIRONA,RIU RIDAURA,N/D,,SANTA CRISTINA D'ARO,,
CALC000008,River discharge,NUMBER,41.148784999 1.236276118,14,m³/s,CET,True,431482-004,Capacity,Tarragona,True,15.0,0.0,230.0,FR-10,TARRAGONÈS,EL FRANCOLÍ,351999,4556773,ACA,In service,TARRAGONA,RIU FRANCOLÍ,EL FRANCOLÍ,821.98,TARRAGONA,,
CALC000085,Canal discharge,NUMBER,42.340588782 2.835225165,35,l/s,CET,True,170600-001_1,Capacity,Sortida d'Embassament de Darnius Boadella (Darnius),True,5.0,0.0,140.0,,ALT EMPORDÀ,LA MUGA,486262,4687606,ACA,,GIRONA,RIU MUGA,LA MUGA,181.2,DARNIUS,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
CALC000088,River discharge,NUMBER,42.340588782 2.835225165,14,m³/s,CET,True,170600-001_1,Capacity,Sortida d'Embassament de Darnius Boadella (Darnius),True,5.0,0.0,460.0,,ALT EMPORDÀ,LA MUGA,486262,4687606,ACA,,GIRONA,RIU MUGA,LA MUGA,181.2,DARNIUS,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
CALC000719,River discharge,NUMBER,42.097784969 1.58285827,14,m³/s,CET,True,081419-003,Capacity,Sortida d'Embassament de la Llosa del Cavall (Navès),True,5.0,0.0,90.0,,SOLSONÈS,EL LLOBREGAT,382818,4661827,ACA,,LLEIDA,RIU CARDENER,EL CARDENER,197.0,NAVÈS,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
CALC000736,River discharge,NUMBER,42.120014524 1.878559556,14,m³/s,CET,True,082687-001,Capacity,Sortida d'Embassament de la Baells (Cercs),True,5.0,0.0,160.0,,BERGUEDÀ,EL LLOBREGAT,407302,4663932,ACA,,BARCELONA,RIU LLOBREGAT,ALT LLOBREGAT,503.35,CERCS,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
CALC001096,River discharge,NUMBER,42.304198759 3.008759796,14,m³/s,CET,True,171328-001_1,Capacity,Peralada (Llobregat de la Muga),True,5.0,0.0,610.0,MB-15,ALT EMPORDÀ,LA MUGA,500722,4683552,ACA,In service,GIRONA,LLOBREGAT DE LA MUGA,LA MUGA,316.47,PERALADA,,
CALC001097,River discharge,NUMBER,42.2377829 2.969057765,14,m³/s,CET,True,170059-001,Capacity,Santa Llogaia d'Àlguema (riu Manol),True,5.0,0.0,590.0,MB-20,ALT EMPORDÀ,LA MUGA,497447,4676178,ACA,In service,GIRONA,RIU MUGA,LA MUGA,162.88,SANTA LLOGAIA D'ÀLGUEMA,,
CALC001100,River discharge,NUMBER,42.254381062 3.071999259,14,m³/s,CET,True,170470-003,Capacity,Castelló d'Empúries,True,5.0,0.0,930.0,MB-25,ALT EMPORDÀ,LA MUGA,505939,4678023,ACA,In service,GIRONA,RIU MUGA,LA MUGA,755.57,CASTELLÓ D'EMPÚRIES,,
CALC001101,River discharge,NUMBER,42.188664947 2.510031397,14,m³/s,CET,True,171143-002,Capacity,Olot,True,5.0,0.0,160.0,FL-05,GARROTXA,EL FLUVIÀ,459542,4670840,ACA,In service,GIRONA,RIU FLUVIÀ,EL FLUVIÀ,139.48,OLOT,,
CALC001103,River discharge,NUMBER,42.177583121 2.798648637,14,m³/s,CET,True,170656-005,Capacity,Esponellà,True,5.0,0.0,1700.0,FL-20,PLA DE L'ESTANY,EL FLUVIÀ,483371,4669513,ACA,In service,GIRONA,RIU FLUVIÀ,EL FLUVIÀ,803.86,ESPONELLÀ,,
CALC001110,River level,NUMBER,42.254381062 3.071999259,19,cm,CET,True,170470-003,Capacity,Castelló d'Empúries,True,5.0,0.0,0.0,MB-25,ALT EMPORDÀ,LA MUGA,505939,4678023,ACA,In service,GIRONA,RIU MUGA,LA MUGA,755.57,CASTELLÓ D'EMPÚRIES,,
CALC001130,River discharge,NUMBER,42.172192162 2.194229581,14,m³/s,CET,True,171707-001,Capacity,Ripoll,True,5.0,0.0,4860.0,TA-10,RIPOLLÈS,EL TER,433448,4669209,ACA,In service,GIRONA,RIU TER,ALT TER,736.91,RIPOLL,,
CALC001139,River discharge,NUMBER,41.983733637 2.289947431,14,m³/s,CET,True,081167-001_1,Capacity,Masies de Roda (Gurri),True,5.0,0.0,520.0,TA-25,OSONA,EL TER,441180,4648214,ACA,In service,BARCELONA,RIU GURRI,ALT TER,249.75,"MASIES DE RODA, LES",,
CALC001144,River discharge,NUMBER,41.984361443 2.289517946,14,m³/s,CET,True,081167-001,Capacity,Masies de Roda (Ter),True,5.0,0.0,1550.0,TA-20,OSONA,EL TER,441145,4648284,ACA,In maintenance,BARCELONA,RIU TER,ALT TER,1137.3,"MASIES DE RODA, LES",,
CALC001145,River discharge,NUMBER,41.983802 2.302718379,14,m³/s,CET,True,081167-001_2,Capacity,Masies de Roda (Ter i Gurri),True,5.0,0.0,1580.0,TA-30,OSONA,EL TER,442102,4648259,ACA,In maintenance,BARCELONA,RIU TER,ALT TER,1387.05,"MASIES DE RODA, LES",,
CALC001175,River discharge,NUMBER,41.897979761 2.818842216,14,m³/s,CET,True,171501-001_1,Capacity,Campllong (la Gotarra),True,5.0,0.0,440.0,TB-25,GIRONÈS,EL TER,484973,4638465,ACA,In service,GIRONA,RIERA GOTARRA,BAIX TER,100.43,CAMPLLONG,,
CALC001176,River discharge,NUMBER,41.898318267 2.816478373,14,m³/s,CET,True,171501-001,Capacity,Riudellots de la Selva (Onyar),True,5.0,0.0,530.0,TB-30,SELVA,EL TER,484777,4638503,ACA,In service,GIRONA,RIU ONYAR,BAIX TER,117.02,RIUDELLOTS DE LA SELVA,,
CALC001201,River discharge,NUMBER,42.076860022 2.991162733,14,m³/s,CET,True,170558-002,Capacity,Colomers (riu i canal de Sentmenat),True,5.0,0.0,2170.0,TB-45,BAIX EMPORDÀ,EL TER,499269,4658310,ACA,In maintenance,GIRONA,RIU TER,BAIX TER,2901.95,COLOMERS,,
CALC001204,River discharge,NUMBER,41.964586294 3.03821947,14,m³/s,CET,True,170221-002,Capacity,Bisbal d'Empordà (Daró),True,5.0,0.0,540.0,DA-10,BAIX EMPORDÀ,EL DARÓ,503167,4645845,ACA,In service,GIRONA,RIU DARO,EL DARÓ,143.82,"BISBAL D'EMPORDÀ, LA",,
CALC001206,River discharge,NUMBER,42.026086442 3.070750566,14,m³/s,CET,True,171910-001,Capacity,Serra de Daró (riu Daró),True,5.0,0.0,600.0,DA-05,BAIX EMPORDÀ,EL DARÓ,505857,4652675,ACA,In service,GIRONA,RIU DARO,EL DARÓ,203.69,SERRA DE DARÓ,,
CALC001209,River discharge,NUMBER,41.738958347 2.693885954,14,m³/s,CET,True,080826-002,Capacity,Fogars de la Selva (Can Simó),True,5.0,0.0,280.0,TO-20,SELVA,LA TORDERA,474545,4620839,ACA,In service,BARCELONA,RIU TORDERA,LA TORDERA,776.56,FOGARS DE LA SELVA,,
CALC001210,River discharge,NUMBER,41.680341221 2.488976096,14,m³/s,CET,True,082021-001,Capacity,Sant Celoni,True,5.0,0.0,170.0,TO-10,VALLÈS ORIENTAL,LA TORDERA,457467,4614412,ACA,In service,BARCELONA,RIU TORDERA,LA TORDERA,124.62,SANT CELONI,,
CALC001211,River discharge,NUMBER,41.745330324 2.669320878,14,m³/s,CET,True,082845-001,Capacity,Fogars de la Selva (Pont Eiffel),True,5.0,0.0,460.0,TO-15,SELVA,LA TORDERA,472505,4621554,ACA,In service,BARCELONA,RIERA DE SANTA COLOMA,LA TORDERA,322.21,FOGARS DE LA SELVA,,
CALC001212,River discharge,NUMBER,41.697144449 2.284059329,14,m³/s,CET,True,080885-001,Capacity,Garriga,True,5.0,0.0,200.0,BE-05,VALLÈS ORIENTAL,EL BESÒS,440427,4616399,ACA,In service,BARCELONA,RIU CONGOST,EL CONGOST,146.27,"GARRIGA, LA",,
CALC001213,River discharge,NUMBER,41.546723121 2.265266528,14,m³/s,CET,True,081363-002,Capacity,Montornès del Vallès (el Mogent),True,5.0,0.0,140.0,BE-10,VALLÈS ORIENTAL,EL BESÒS,438721,4599712,ACA,In service,BARCELONA,RIU MOGENT,RIU MOGENT,181.01,MONTORNÈS DEL VALLÈS,,
CALC001218,River discharge,NUMBER,41.990209392 2.819160445,14,m³/s,CET,True,170792-002,Capacity,Girona (Ter),True,5.0,0.0,980.0,TB-20,GIRONÈS,EL TER,485021,4648705,ACA,In service,GIRONA,RIU TER,BAIX TER,2257.0,GIRONA,,
CALC001219,River discharge,NUMBER,41.450597601 2.200589117,14,m³/s,CET,True,082457-001,Capacity,Santa Coloma de Gramenet (riu),True,5.0,0.0,550.0,BE-20,BARCELONÈS,EL BESÒS,433228,4589088,ACA,In service,BARCELONA,RIU BESÓS,EL BESÒS,1018.25,SANTA COLOMA DE GRAMENET,,
CALC001222,River discharge,NUMBER,41.48783369 2.186391629,14,m³/s,CET,True,081252-001,Capacity,Montcada i Reixac (el Ripoll),True,5.0,0.0,140.0,BE-15,VALLÈS OCCIDENTAL,EL BESÒS,432081,4593233,ACA,In service,BARCELONA,RIU RIPOLL,EL RIPOLL,220.55,MONTCADA I REIXAC,,
CALC001228,River discharge,NUMBER,42.214385565 1.869705979,14,m³/s,CET,True,080996-007,Capacity,Guardiola de Berguedà (Llobregat),True,5.0,0.0,280.0,LA-10,BERGUEDÀ,EL LLOBREGAT,406706,4674198,ACA,Limited functionality,BARCELONA,RIU LLOBREGAT,ALT LLOBREGAT,332.58,GUARDIOLA DE BERGUEDÀ,,
CALC001230,River discharge,NUMBER,41.859536325 1.880218115,14,m³/s,CET,True,080180-005,Capacity,Balsareny,True,5.0,0.0,1140.0,LB-15,BAGES,EL LLOBREGAT,407058,4634787,ACA,In service,BARCELONA,RIU LLOBREGAT,LLOBREGAT MIG,1022.26,BALSARENY,,
CALC001237,River discharge,NUMBER,41.787629375 1.91716489,14,m³/s,CET,True,081918-009,Capacity,Sallent,True,5.0,0.0,120.0,LB-20,BAGES,EL LLOBREGAT,410024,4626764,ACA,In service,BARCELONA,RIERA GAVARRESA,LLOBREGAT MIG,452.56,ARTÉS,,
CALC001241,River discharge,NUMBER,41.920666218 1.696075185,14,m³/s,CET,True,080478-006,Capacity,Cardona (túnel),True,5.0,0.0,470.0,CB-10,BAGES,EL LLOBREGAT,391877,4641790,ACA,In service,BARCELONA,RIU CARDENER,EL CARDENER,631.0,CARDONA,,
CALC001244,River discharge,NUMBER,41.646561643 1.858396556,14,m³/s,CET,True,080538-005,Capacity,Castellbell i el Vilar,True,5.0,0.0,970.0,LB-25,BAGES,EL LLOBREGAT,404933,4611165,ACA,In service,BARCELONA,RIU LLOBREGAT,BAIX LLOBREGAT,3326.85,CASTELLBELL I EL VILAR,,
CALC001249,River discharge,NUMBER,41.443497484 1.788187977,14,m³/s,CET,True,082401-002,Capacity,Sant Sadurní d'Anoia,True,5.0,0.0,140.0,LB-45,ALT PENEDÈS,EL LLOBREGAT,398770,4588700,ACA,In service,BARCELONA,RIU ANOIA,L'ANOIA,720.03,SANT SADURNÍ D'ANOIA,,
CALC001266,River discharge,NUMBER,41.458696562 1.664099955,14,m³/s,CET,True,082362-001,Capacity,Sant Quintí de Mediona,True,5.0,0.0,190.0,LB-35,ALT PENEDÈS,EL LLOBREGAT,388430,4590540,ACA,In service,BARCELONA,RIU RIUDEVITLLES-RIERA DE MEDI,L'ANOIA,68.58,SANT QUINTÍ DE MEDIONA,,
CALC001270,River discharge,NUMBER,41.966624956 2.413554059,14,m³/s,CET,True,083036-001_1,Capacity,Sortida d'Embassament de Sau (Vilanova de Sau),True,5.0,0.0,730.0,,OSONA,EL TER,451408,4646459,ACA,,BARCELONA,RIU TER,ALT TER,1564.0,VILANOVA DE SAU,Estació d'aforament virtual,AGÈNCIA CATALANA DE L'AIGUA
